03:17:05 - INFO   - io-perf-tool - All info would be stored into /tmp/perf_tests/ungored_babara
03:17:05 - INFO   - io-perf-tool - Start discover_stage stage
03:17:05 - INFO   - io-perf-tool - Start log_nodes_statistic stage
03:17:05 - INFO   - io-perf-tool - Found 1 nodes total
03:17:05 - [1;34mDEBUG[0m - io-perf-tool - Found 1 nodes with role testnode
03:17:05 - INFO   - io-perf-tool - Start connect_stage stage
03:17:05 - INFO   - io-perf-tool - Connecting to nodes
03:17:05 - INFO   - io-perf-tool - All nodes connected successfully
03:17:05 - INFO   - io-perf-tool - Start deploy_sensors_stage stage
03:17:05 - INFO   - io-perf-tool - Start run_tests_stage stage
03:17:05 - INFO   - io-perf-tool - Starting io tests
03:17:05 - [1;34mDEBUG[0m - io-perf-tool - Starting io test on ssh://koder:koder771@@127.0.0.1 node
03:17:05 - [1;34mDEBUG[0m - io-perf-tool - Run preparation for ssh://koder:koder771@@127.0.0.1
03:17:06 - [1;34mDEBUG[0m - io-perf-tool - SSH: Exec 'which fio'
03:17:06 - [1;34mDEBUG[0m - io-perf-tool - SSH: Exec 'dd if=/dev/zero of=/media/koder/a5230078-4c27-4c3b-99aa-26148e78b2e7/xxx.bin bs=1048576 count=10240'
03:18:59 - [1;34mDEBUG[0m - io-perf-tool - Run test for ssh://koder:koder771@@127.0.0.1
03:18:59 - [1;34mDEBUG[0m - io-perf-tool - Waiting on barrier
03:18:59 - INFO   - io-perf-tool - Test will takes about 2:12:35
03:18:59 - [1;34mDEBUG[0m - io-perf-tool - SSH: Exec 'env python2 /tmp/disk_test_agent.py --type fio --params NUM_ROUNDS=7 FILENAME=/media/koder/a5230078-4c27-4c3b-99aa-26148e78b2e7/xxx.bin --json -'
05:34:57 - INFO   - io-perf-tool - Start store_raw_results_stage stage
05:34:57 - INFO   - io-perf-tool - Start console_report_stage stage
05:34:57 - INFO   - io-perf-tool - Start report_stage stage
05:34:57 - INFO   - io-perf-tool - Text report were stored in /tmp/perf_tests/ungored_babara/report.txt
05:34:57 - INFO   - io-perf-tool - Start shut_down_vms_stage stage
05:34:57 - INFO   - io-perf-tool - Start disconnect_stage stage
05:34:57 - INFO   - io-perf-tool - All info stotored into /tmp/perf_tests/ungored_babara
14:48:38 -     INFO - wally           - All info would be stored into results/usb_hdd/
14:48:38 -     INFO - wally           - Start load_data_from_file stage
14:48:38 -    DEBUG - wally           - Start utils.cleanup
14:49:29 -     INFO - wally           - All info would be stored into results/usb_hdd/
14:49:29 -     INFO - wally           - Start load_data_from_file stage
14:49:29 -    DEBUG - wally           - Start utils.cleanup
14:49:47 -     INFO - wally           - All info would be stored into results/usb_hdd/
14:49:47 -     INFO - wally           - Start load_data_from_file stage
14:49:47 -    DEBUG - wally           - Start utils.cleanup
14:50:21 -     INFO - wally           - All info would be stored into results/usb_hdd/
14:50:21 -     INFO - wally           - Start load_data_from_file stage
14:50:22 -    DEBUG - wally           - Start utils.cleanup
14:50:43 -     INFO - wally           - All info would be stored into results/usb_hdd/
14:50:43 -     INFO - wally           - Start load_data_from_file stage
14:50:43 -    DEBUG - wally           - Start utils.cleanup
14:51:00 -     INFO - wally           - All info would be stored into results/usb_hdd/
14:51:00 -     INFO - wally           - Start load_data_from_file stage
14:51:00 -    DEBUG - wally           - Start utils.cleanup
14:52:44 -     INFO - wally           - All info would be stored into results/usb_hdd/
14:52:44 -     INFO - wally           - Start load_data_from_file stage
14:52:44 -    DEBUG - wally           - Start utils.cleanup
14:53:17 -     INFO - wally           - All info would be stored into results/usb_hdd/
14:53:17 -     INFO - wally           - Start load_data_from_file stage
14:53:17 -    DEBUG - wally           - Start utils.cleanup
14:53:17 -    DEBUG - wally.report    - Generatins report HDD into results/usb_hdd/HDD_report.html
14:53:17 -    ERROR - wally.report    - Failed to generate html report:'PerfInfo' object has no attribute 'dev'
14:53:17 -     INFO - wally           - Text report were stored in results/usb_hdd/report.txt
14:53:17 -     INFO - wally           - All info stored in results/usb_hdd/ folder
14:53:17 -     INFO - wally           - Tests finished successfully
14:56:33 -     INFO - wally           - All info would be stored into results/usb_hdd/
14:56:33 -     INFO - wally           - Start load_data_from_file stage
14:56:33 -    DEBUG - wally           - Start utils.cleanup
14:56:33 -    DEBUG - wally.report    - Generatins report HDD into results/usb_hdd/HDD_report.html
14:56:33 -    ERROR - wally.report    - Failed to generate html report:unsupported operand type(s) for /: 'StatProps' and 'int'
14:56:33 -     INFO - wally           - Text report were stored in results/usb_hdd/report.txt
14:56:33 -     INFO - wally           - All info stored in results/usb_hdd/ folder
14:56:33 -     INFO - wally           - Tests finished successfully
14:56:59 -     INFO - wally           - All info would be stored into results/usb_hdd/
14:56:59 -     INFO - wally           - Start load_data_from_file stage
14:57:00 -    DEBUG - wally           - Start utils.cleanup
14:57:00 -    DEBUG - wally.report    - Generatins report HDD into results/usb_hdd/HDD_report.html
14:57:00 -    ERROR - wally.report    - Failed to generate html report:'list' object has no attribute 'average'
14:57:00 -     INFO - wally           - Text report were stored in results/usb_hdd/report.txt
14:57:00 -     INFO - wally           - All info stored in results/usb_hdd/ folder
14:57:00 -     INFO - wally           - Tests finished successfully
14:57:50 -     INFO - wally           - All info would be stored into results/usb_hdd/
14:57:50 -     INFO - wally           - Start load_data_from_file stage
14:57:50 -    DEBUG - wally           - Start utils.cleanup
14:57:51 -    DEBUG - wally.report    - Generatins report HDD into results/usb_hdd/HDD_report.html
14:57:51 -    ERROR - wally.report    - Failed to generate html report:'NoneType' object has no attribute '__getitem__'
14:57:51 -     INFO - wally           - Text report were stored in results/usb_hdd/report.txt
